	User_GO:IDS	User_Go_Defs	Slim_GO:IDS	Slim_Go_Defs
599	GO:0006754	ATP biosynthetic process	GO:1901135	carbohydrate derivative metabolic process
600	GO:0006777	Mo-molybdopterin cofactor biosynthetic process	GO:0051189	prosthetic group metabolic process
601	GO:0006783	heme biosynthetic process	GO:0009058	biosynthetic process
602	GO:0006783	heme biosynthetic process	GO:0033013	tetrapyrrole metabolic process
603	GO:0006809	nitric oxide biosynthetic process	GO:0048193	Golgi vesicle transport
604	GO:0006809	nitric oxide biosynthetic process	GO:0051234	establishment of localization
605	GO:0006813	potassium ion transport	GO:0006811	monoatomic ion transport
606	GO:0006813	potassium ion transport	GO:0016798	hydrolase activity, acting on glycosyl bonds
607	GO:0006814	sodium ion transport	GO:0006811	monoatomic ion transport
608	GO:0006814	sodium ion transport	GO:0048523	negative regulation of cellular process
609	GO:0006814	sodium ion transport	GO:0048731	system development
610	GO:0006814	sodium ion transport	GO:0050794	regulation of cellular process
611	GO:0006816	calcium ion transport	GO:0006810	transport
612	GO:0006816	calcium ion transport	GO:0006811	monoatomic ion transport
613	GO:0006816	calcium ion transport	GO:0048584	positive regulation of response to stimulus
614	GO:0006821	chloride transport	GO:0006793	phosphorus metabolic process
615	GO:0006821	chloride transport	GO:0006807	nitrogen compound metabolic process
616	GO:0006821	chloride transport	GO:0006810	transport
617	GO:0006821	chloride transport	GO:0006811	monoatomic ion transport
618	GO:0006821	chloride transport	GO:0009056	catabolic process
619	GO:0006821	chloride transport	GO:0009058	biosynthetic process
620	GO:0006821	chloride transport	GO:0033043	regulation of organelle organization
621	GO:0006821	chloride transport	GO:0044237	cellular metabolic process
622	GO:0006821	chloride transport	GO:0044281	small molecule metabolic process
623	GO:0006821	chloride transport	GO:0051726	regulation of cell cycle
624	GO:0006879	intracellular iron ion homeostasis	GO:0006066	alcohol metabolic process
625	GO:0006879	intracellular iron ion homeostasis	GO:0006873	intracellular monoatomic ion homeostasis
626	GO:0006879	intracellular iron ion homeostasis	GO:0008168	methyltransferase activity
627	GO:0006879	intracellular iron ion homeostasis	GO:0009058	biosynthetic process
628	GO:0006879	intracellular iron ion homeostasis	GO:0098771	inorganic ion homeostasis
629	GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	GO:0006725	cellular aromatic compound metabolic process
630	GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	GO:0006810	transport
631	GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	GO:0044283	small molecule biosynthetic process
632	GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	GO:0046483	heterocycle metabolic process
633	GO:0006890	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	GO:0048193	Golgi vesicle transport
634	GO:0006935	chemotaxis	GO:0016874	ligase activity
635	GO:0006935	chemotaxis	GO:0043167	ion binding
636	GO:0006952	defense response	GO:0006950	response to stress
637	GO:0006956	complement activation	GO:0006955	immune response
638	GO:0006958	complement activation, classical pathway	GO:0002376	immune system process
639	GO:0006958	complement activation, classical pathway	GO:0019222	regulation of metabolic process
640	GO:0007052	mitotic spindle organization	GO:0000226	microtubule cytoskeleton organization
641	GO:0007094	mitotic spindle assembly checkpoint signaling	GO:0033043	regulation of organelle organization
642	GO:0007094	mitotic spindle assembly checkpoint signaling	GO:0044877	protein-containing complex binding
643	GO:0007094	mitotic spindle assembly checkpoint signaling	GO:0051726	regulation of cell cycle
644	GO:0007094	mitotic spindle assembly checkpoint signaling	GO:0071174	mitotic spindle checkpoint signaling
645	GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	GO:0000166	nucleotide binding
646	GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	GO:0019222	regulation of metabolic process
647	GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	GO:0033043	regulation of organelle organization
648	GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	GO:0048519	negative regulation of biological process
649	GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	GO:0050794	regulation of cellular process
650	GO:0007205	protein kinase C-activating G protein-coupled receptor signaling pathway	GO:0007186	G protein-coupled receptor signaling pathway
651	GO:0007213	G protein-coupled acetylcholine receptor signaling pathway	GO:0007186	G protein-coupled receptor signaling pathway
652	GO:0007214	gamma-aminobutyric acid signaling pathway	GO:0007267	cell-cell signaling
653	GO:0007218	neuropeptide signaling pathway	GO:0007186	G protein-coupled receptor signaling pathway
654	GO:0007219	Notch signaling pathway	GO:0007166	cell surface receptor signaling pathway
655	GO:0007229	integrin-mediated signaling pathway	GO:0007166	cell surface receptor signaling pathway
656	GO:0007264	small GTPase mediated signal transduction	GO:0035556	intracellular signal transduction
657	GO:0007266	Rho protein signal transduction	GO:0005886	plasma membrane
658	GO:0007266	Rho protein signal transduction	GO:0006725	cellular aromatic compound metabolic process
659	GO:0007266	Rho protein signal transduction	GO:0006793	phosphorus metabolic process
660	GO:0007266	Rho protein signal transduction	GO:0009117	nucleotide metabolic process
661	GO:0007266	Rho protein signal transduction	GO:0043101	purine-containing compound salvage
662	GO:0007266	Rho protein signal transduction	GO:0046483	heterocycle metabolic process
663	GO:0007411	axon guidance	GO:0000166	nucleotide binding
664	GO:0007411	axon guidance	GO:0002376	immune system process
665	GO:0007411	axon guidance	GO:0006417	regulation of translation
666	GO:0007411	axon guidance	GO:0006725	cellular aromatic compound metabolic process
667	GO:0007411	axon guidance	GO:0006793	phosphorus metabolic process
668	GO:0007411	axon guidance	GO:0006807	nitrogen compound metabolic process
669	GO:0007411	axon guidance	GO:0009058	biosynthetic process
670	GO:0007411	axon guidance	GO:0044237	cellular metabolic process
671	GO:0007411	axon guidance	GO:0046483	heterocycle metabolic process
672	GO:0007411	axon guidance	GO:0050794	regulation of cellular process
673	GO:0007411	axon guidance	GO:0051726	regulation of cell cycle
674	GO:0007411	axon guidance	GO:0061024	membrane organization
675	GO:0007411	axon guidance	GO:0140096	catalytic activity, acting on a protein
676	GO:0007420	brain development	GO:0070603	SWI/SNF superfamily-type complex
677	GO:0007422	peripheral nervous system development	GO:0048731	system development
678	GO:0007517	muscle organ development	GO:0006793	phosphorus metabolic process
679	GO:0007517	muscle organ development	GO:0007166	cell surface receptor signaling pathway
680	GO:0007517	muscle organ development	GO:0009117	nucleotide metabolic process
681	GO:0007517	muscle organ development	GO:0044237	cellular metabolic process
682	GO:0007517	muscle organ development	GO:0046483	heterocycle metabolic process
683	GO:0007517	muscle organ development	GO:0048856	anatomical structure development
684	GO:0007517	muscle organ development	GO:0055086	nucleobase-containing small molecule metabolic process
685	GO:0007517	muscle organ development	GO:0061061	muscle structure development
686	GO:0007608	sensory perception of smell	GO:0006811	monoatomic ion transport
687	GO:0007608	sensory perception of smell	GO:0033043	regulation of organelle organization
688	GO:0007608	sensory perception of smell	GO:0048523	negative regulation of cellular process
689	GO:0007608	sensory perception of smell	GO:0050789	regulation of biological process
690	GO:0007608	sensory perception of smell	GO:0050794	regulation of cellular process
691	GO:0007608	sensory perception of smell	GO:0065008	regulation of biological quality
692	GO:0007624	ultradian rhythm	GO:0048511	rhythmic process
693	GO:0008013	beta-catenin binding	GO:0005515	protein binding
694	GO:0008017	microtubule binding	GO:0008092	cytoskeletal protein binding
695	GO:0008047	enzyme activator activity	GO:0016491	oxidoreductase activity
696	GO:0008047	enzyme activator activity	GO:0030234	enzyme regulator activity
697	GO:0008076	voltage-gated potassium channel complex	GO:0098796	membrane protein complex
698	GO:0008093	cytoskeletal anchor activity	GO:0006811	monoatomic ion transport
699	GO:0008093	cytoskeletal anchor activity	GO:0040011	locomotion
700	GO:0008157	protein phosphatase 1 binding	GO:0006520	amino acid metabolic process
701	GO:0008157	protein phosphatase 1 binding	GO:0009056	catabolic process
702	GO:0008157	protein phosphatase 1 binding	GO:0019222	regulation of metabolic process
703	GO:0008191	metalloendopeptidase inhibitor activity	GO:0006139	nucleobase-containing compound metabolic process
704	GO:0008191	metalloendopeptidase inhibitor activity	GO:0006793	phosphorus metabolic process
705	GO:0008191	metalloendopeptidase inhibitor activity	GO:0009058	biosynthetic process
706	GO:0008191	metalloendopeptidase inhibitor activity	GO:0009117	nucleotide metabolic process
707	GO:0008191	metalloendopeptidase inhibitor activity	GO:0031248	protein acetyltransferase complex
708	GO:0008191	metalloendopeptidase inhibitor activity	GO:0046483	heterocycle metabolic process
709	GO:0008191	metalloendopeptidase inhibitor activity	GO:0055086	nucleobase-containing small molecule metabolic process
710	GO:0008191	metalloendopeptidase inhibitor activity	GO:0070603	SWI/SNF superfamily-type complex
711	GO:0008194	UDP-glycosyltransferase activity	GO:0016757	glycosyltransferase activity
712	GO:0008203	cholesterol metabolic process	GO:0006629	lipid metabolic process
713	GO:0008203	cholesterol metabolic process	GO:0022857	transmembrane transporter activity
714	GO:0008203	cholesterol metabolic process	GO:0140657	ATP-dependent activity
715	GO:0008234	cysteine-type peptidase activity	GO:0008233	peptidase activity
716	GO:0008236	serine-type peptidase activity	GO:0008233	peptidase activity
717	GO:0008236	serine-type peptidase activity	GO:0016301	kinase activity
718	GO:0008237	metallopeptidase activity	GO:0005667	transcription regulator complex
719	GO:0008237	metallopeptidase activity	GO:0008233	peptidase activity
720	GO:0008237	metallopeptidase activity	GO:0016491	oxidoreductase activity
721	GO:0008270	zinc ion binding	GO:0031323	regulation of cellular metabolic process
722	GO:0008270	zinc ion binding	GO:0046872	metal ion binding
723	GO:0008270	zinc ion binding	GO:0140096	catalytic activity, acting on a protein
724	GO:0008305	integrin complex	GO:0006082	organic acid metabolic process
725	GO:0008305	integrin complex	GO:0006629	lipid metabolic process
726	GO:0008305	integrin complex	GO:0022857	transmembrane transporter activity
727	GO:0008305	integrin complex	GO:0033043	regulation of organelle organization
728	GO:0008305	integrin complex	GO:0044283	small molecule biosynthetic process
729	GO:0008305	integrin complex	GO:0048583	regulation of response to stimulus
730	GO:0008305	integrin complex	GO:0050794	regulation of cellular process
731	GO:0008349	MAP kinase kinase kinase kinase activity	GO:0006629	lipid metabolic process
732	GO:0008349	MAP kinase kinase kinase kinase activity	GO:0009056	catabolic process
733	GO:0008349	MAP kinase kinase kinase kinase activity	GO:0022402	cell cycle process
734	GO:0008349	MAP kinase kinase kinase kinase activity	GO:0042221	response to chemical
735	GO:0008349	MAP kinase kinase kinase kinase activity	GO:0044237	cellular metabolic process
736	GO:0008349	MAP kinase kinase kinase kinase activity	GO:0044255	cellular lipid metabolic process
737	GO:0008349	MAP kinase kinase kinase kinase activity	GO:0050794	regulation of cellular process
738	GO:0008349	MAP kinase kinase kinase kinase activity	GO:0140096	catalytic activity, acting on a protein
739	GO:0008349	MAP kinase kinase kinase kinase activity	GO:1901135	carbohydrate derivative metabolic process
740	GO:0008360	regulation of cell shape	GO:0006520	amino acid metabolic process
741	GO:0008360	regulation of cell shape	GO:0006725	cellular aromatic compound metabolic process
742	GO:0008373	sialyltransferase activity	GO:0016757	glycosyltransferase activity
743	GO:0008374	O-acyltransferase activity	GO:0005215	transporter activity
744	GO:0008420	RNA polymerase II CTD heptapeptide repeat phosphatase activity	GO:0007166	cell surface receptor signaling pathway
745	GO:0008420	RNA polymerase II CTD heptapeptide repeat phosphatase activity	GO:0022857	transmembrane transporter activity
746	GO:0008420	RNA polymerase II CTD heptapeptide repeat phosphatase activity	GO:0050789	regulation of biological process
747	GO:0008420	RNA polymerase II CTD heptapeptide repeat phosphatase activity	GO:0140096	catalytic activity, acting on a protein
748	GO:0008420	RNA polymerase II CTD heptapeptide repeat phosphatase activity	GO:0140657	ATP-dependent activity
749	GO:0008479	tRNA-guanosine(34) queuine transglycosylase activity	GO:0007600	sensory perception
750	GO:0008479	tRNA-guanosine(34) queuine transglycosylase activity	GO:0016757	glycosyltransferase activity
751	GO:0008479	tRNA-guanosine(34) queuine transglycosylase activity	GO:0040011	locomotion
752	GO:0008479	tRNA-guanosine(34) queuine transglycosylase activity	GO:0050789	regulation of biological process
753	GO:0008479	tRNA-guanosine(34) queuine transglycosylase activity	GO:0140098	catalytic activity, acting on RNA
754	GO:0008556	P-type potassium transmembrane transporter activity	GO:0006082	organic acid metabolic process
755	GO:0008556	P-type potassium transmembrane transporter activity	GO:0006520	amino acid metabolic process
756	GO:0008556	P-type potassium transmembrane transporter activity	GO:0006725	cellular aromatic compound metabolic process
757	GO:0008556	P-type potassium transmembrane transporter activity	GO:0006807	nitrogen compound metabolic process
758	GO:0008556	P-type potassium transmembrane transporter activity	GO:0009056	catabolic process
759	GO:0008556	P-type potassium transmembrane transporter activity	GO:0022857	transmembrane transporter activity
760	GO:0008556	P-type potassium transmembrane transporter activity	GO:0044237	cellular metabolic process
761	GO:0008568	microtubule severing ATPase activity	GO:0140096	catalytic activity, acting on a protein
762	GO:0008610	lipid biosynthetic process	GO:0006629	lipid metabolic process
763	GO:0008652	amino acid biosynthetic process	GO:0006520	amino acid metabolic process
764	GO:0008654	phospholipid biosynthetic process	GO:0006629	lipid metabolic process
765	GO:0008654	phospholipid biosynthetic process	GO:0006793	phosphorus metabolic process
766	GO:0008654	phospholipid biosynthetic process	GO:0008152	metabolic process
767	GO:0008654	phospholipid biosynthetic process	GO:0044255	cellular lipid metabolic process
768	GO:0008654	phospholipid biosynthetic process	GO:0050877	nervous system process
769	GO:0009081	branched-chain amino acid metabolic process	GO:0006520	amino acid metabolic process
770	GO:0009190	cyclic nucleotide biosynthetic process	GO:0009117	nucleotide metabolic process
771	GO:0009263	deoxyribonucleotide biosynthetic process	GO:0140096	catalytic activity, acting on a protein
772	GO:0009331	glycerol-3-phosphate dehydrogenase complex	GO:0006807	nitrogen compound metabolic process
773	GO:0009331	glycerol-3-phosphate dehydrogenase complex	GO:0019222	regulation of metabolic process
774	GO:0009331	glycerol-3-phosphate dehydrogenase complex	GO:0031323	regulation of cellular metabolic process
775	GO:0009331	glycerol-3-phosphate dehydrogenase complex	GO:0044255	cellular lipid metabolic process
776	GO:0009331	glycerol-3-phosphate dehydrogenase complex	GO:0044283	small molecule biosynthetic process
777	GO:0009331	glycerol-3-phosphate dehydrogenase complex	GO:0048519	negative regulation of biological process
778	GO:0009331	glycerol-3-phosphate dehydrogenase complex	GO:0050794	regulation of cellular process
779	GO:0009331	glycerol-3-phosphate dehydrogenase complex	GO:0051726	regulation of cell cycle
780	GO:0009331	glycerol-3-phosphate dehydrogenase complex	GO:1901135	carbohydrate derivative metabolic process
781	GO:0009331	glycerol-3-phosphate dehydrogenase complex	GO:1990204	oxidoreductase complex
782	GO:0009374	biotin binding	GO:0016772	transferase activity, transferring phosphorus-containing groups
783	GO:0009374	biotin binding	GO:0019842	vitamin binding
784	GO:0009374	biotin binding	GO:0031406	carboxylic acid binding
785	GO:0009653	anatomical structure morphogenesis	GO:0032502	developmental process
786	GO:0009897	external side of plasma membrane	GO:0110165	cellular anatomical entity
787	GO:0009922	fatty acid elongase activity	GO:0009058	biosynthetic process
788	GO:0009922	fatty acid elongase activity	GO:0016746	acyltransferase activity
789	GO:0009922	fatty acid elongase activity	GO:0016798	hydrolase activity, acting on glycosyl bonds
790	GO:0009922	fatty acid elongase activity	GO:0044283	small molecule biosynthetic process
791	GO:0009922	fatty acid elongase activity	GO:0048519	negative regulation of biological process
792	GO:0009922	fatty acid elongase activity	GO:0050794	regulation of cellular process
793	GO:0009968	negative regulation of signal transduction	GO:0048519	negative regulation of biological process
794	GO:0009968	negative regulation of signal transduction	GO:0048583	regulation of response to stimulus
795	GO:0009968	negative regulation of signal transduction	GO:0140096	catalytic activity, acting on a protein
796	GO:0010040	response to iron(II) ion	GO:0065003	protein-containing complex assembly
797	GO:0010181	FMN binding	GO:0000166	nucleotide binding
798	GO:0010181	FMN binding	GO:0044237	cellular metabolic process
799	GO:0010181	FMN binding	GO:0050789	regulation of biological process
800	GO:0010506	regulation of autophagy	GO:0042221	response to chemical
801	GO:0010972	negative regulation of G2/M transition of mitotic cell cycle	GO:0006281	DNA repair
802	GO:0015030	Cajal body	GO:0006811	monoatomic ion transport
803	GO:0015095	magnesium ion transmembrane transporter activity	GO:0022857	transmembrane transporter activity
804	GO:0015095	magnesium ion transmembrane transporter activity	GO:0098796	membrane protein complex
805	GO:0015171	amino acid transmembrane transporter activity	GO:0007009	plasma membrane organization
806	GO:0015245	fatty acid transmembrane transporter activity	GO:0005215	transporter activity
807	GO:0015267	channel activity	GO:0016772	transferase activity, transferring phosphorus-containing groups
808	GO:0015297	antiporter activity	GO:0016772	transferase activity, transferring phosphorus-containing groups
809	GO:0015693	magnesium ion transport	GO:0016787	hydrolase activity
810	GO:0015693	magnesium ion transport	GO:0032501	multicellular organismal process
811	GO:0015908	fatty acid transport	GO:0006869	lipid transport
812	GO:0015908	fatty acid transport	GO:0030234	enzyme regulator activity
813	GO:0015986	proton motive force-driven ATP synthesis	GO:0006139	nucleobase-containing compound metabolic process
814	GO:0015986	proton motive force-driven ATP synthesis	GO:0006725	cellular aromatic compound metabolic process
815	GO:0015986	proton motive force-driven ATP synthesis	GO:0006793	phosphorus metabolic process
816	GO:0015986	proton motive force-driven ATP synthesis	GO:0006807	nitrogen compound metabolic process
817	GO:0015986	proton motive force-driven ATP synthesis	GO:0009058	biosynthetic process
818	GO:0015986	proton motive force-driven ATP synthesis	GO:0009117	nucleotide metabolic process
819	GO:0015986	proton motive force-driven ATP synthesis	GO:0034641	cellular nitrogen compound metabolic process
820	GO:0015986	proton motive force-driven ATP synthesis	GO:0046483	heterocycle metabolic process
821	GO:0015986	proton motive force-driven ATP synthesis	GO:0055086	nucleobase-containing small molecule metabolic process
822	GO:0015986	proton motive force-driven ATP synthesis	GO:1901135	carbohydrate derivative metabolic process
823	GO:0016042	lipid catabolic process	GO:0006629	lipid metabolic process
824	GO:0016042	lipid catabolic process	GO:0009056	catabolic process
825	GO:0016174	NAD(P)H oxidase H2O2-forming activity	GO:0022857	transmembrane transporter activity
826	GO:0016208	AMP binding	GO:0000166	nucleotide binding
827	GO:0016208	AMP binding	GO:0006082	organic acid metabolic process
828	GO:0016208	AMP binding	GO:0031323	regulation of cellular metabolic process
829	GO:0016208	AMP binding	GO:0050789	regulation of biological process
830	GO:0016208	AMP binding	GO:0051726	regulation of cell cycle
831	GO:0016251	RNA polymerase II general transcription initiation factor activity	GO:0140223	general transcription initiation factor activity
832	GO:0016274	protein-arginine N-methyltransferase activity	GO:0006811	monoatomic ion transport
833	GO:0016274	protein-arginine N-methyltransferase activity	GO:0008168	methyltransferase activity
834	GO:0016279	protein-lysine N-methyltransferase activity	GO:0006396	RNA processing
835	GO:0016279	protein-lysine N-methyltransferase activity	GO:0008168	methyltransferase activity
836	GO:0016279	protein-lysine N-methyltransferase activity	GO:0032787	monocarboxylic acid metabolic process
837	GO:0016324	apical plasma membrane	GO:0098590	plasma membrane region
838	GO:0016358	dendrite development	GO:0030030	cell projection organization
839	GO:0016405	CoA-ligase activity	GO:0043232	intracellular non-membrane-bounded organelle
840	GO:0016405	CoA-ligase activity	GO:0050789	regulation of biological process
841	GO:0016429	tRNA (adenine-N1-)-methyltransferase activity	GO:0008168	methyltransferase activity
842	GO:0016429	tRNA (adenine-N1-)-methyltransferase activity	GO:0022857	transmembrane transporter activity
843	GO:0016429	tRNA (adenine-N1-)-methyltransferase activity	GO:0140098	catalytic activity, acting on RNA
844	GO:0016459	myosin complex	GO:0019222	regulation of metabolic process
845	GO:0016459	myosin complex	GO:0032991	protein-containing complex
846	GO:0016477	cell migration	GO:0048870	cell motility
847	GO:0016500	protein-hormone receptor activity	GO:0038023	signaling receptor activity
848	GO:0016514	SWI/SNF complex	GO:0070603	SWI/SNF superfamily-type complex
849	GO:0016529	sarcoplasmic reticulum	GO:0005783	endoplasmic reticulum
850	GO:0016567	protein ubiquitination	GO:0009056	catabolic process
851	GO:0016567	protein ubiquitination	GO:0015318	inorganic molecular entity transmembrane transporter activity
852	GO:0016567	protein ubiquitination	GO:0044877	protein-containing complex binding
853	GO:0016567	protein ubiquitination	GO:0070647	protein modification by small protein conjugation or removal
854	GO:0016592	mediator complex	GO:0140513	nuclear protein-containing complex
855	GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	GO:0048585	negative regulation of response to stimulus
856	GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	GO:0050789	regulation of biological process
857	GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors	GO:0016491	oxidoreductase activity
858	GO:0016758	hexosyltransferase activity	GO:0016757	glycosyltransferase activity
859	GO:0016763	pentosyltransferase activity	GO:0098772	molecular function regulator activity
860	GO:0016811	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides	GO:0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds
861	GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	GO:0022857	transmembrane transporter activity
862	GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	GO:0042445	hormone metabolic process
863	GO:0016849	phosphorus-oxygen lyase activity	GO:0016829	lyase activity
864	GO:0016878	acid-thiol ligase activity	GO:0006629	lipid metabolic process
865	GO:0016878	acid-thiol ligase activity	GO:0006725	cellular aromatic compound metabolic process
866	GO:0016878	acid-thiol ligase activity	GO:0006793	phosphorus metabolic process
867	GO:0016878	acid-thiol ligase activity	GO:0006807	nitrogen compound metabolic process
868	GO:0016878	acid-thiol ligase activity	GO:0009058	biosynthetic process
869	GO:0016878	acid-thiol ligase activity	GO:0009117	nucleotide metabolic process
870	GO:0016878	acid-thiol ligase activity	GO:0016020	membrane
871	GO:0016878	acid-thiol ligase activity	GO:0030030	cell projection organization
872	GO:0016878	acid-thiol ligase activity	GO:0034641	cellular nitrogen compound metabolic process
873	GO:0016878	acid-thiol ligase activity	GO:0046483	heterocycle metabolic process
874	GO:0016878	acid-thiol ligase activity	GO:0055086	nucleobase-containing small molecule metabolic process
875	GO:0016878	acid-thiol ligase activity	GO:0070925	organelle assembly
876	GO:0016878	acid-thiol ligase activity	GO:1901135	carbohydrate derivative metabolic process
877	GO:0016887	ATP hydrolysis activity	GO:0017111	ribonucleoside triphosphate phosphatase activity
878	GO:0017018	myosin phosphatase activity	GO:0006139	nucleobase-containing compound metabolic process
879	GO:0017018	myosin phosphatase activity	GO:0006725	cellular aromatic compound metabolic process
880	GO:0017018	myosin phosphatase activity	GO:0006790	sulfur compound metabolic process
881	GO:0017018	myosin phosphatase activity	GO:0006793	phosphorus metabolic process
882	GO:0017018	myosin phosphatase activity	GO:0006807	nitrogen compound metabolic process
883	GO:0017018	myosin phosphatase activity	GO:0008152	metabolic process
884	GO:0017018	myosin phosphatase activity	GO:0009058	biosynthetic process
885	GO:0017018	myosin phosphatase activity	GO:0009117	nucleotide metabolic process
886	GO:0017018	myosin phosphatase activity	GO:0034641	cellular nitrogen compound metabolic process
887	GO:0017018	myosin phosphatase activity	GO:0043603	amide metabolic process
888	GO:0017018	myosin phosphatase activity	GO:0044255	cellular lipid metabolic process
889	GO:0017018	myosin phosphatase activity	GO:0046483	heterocycle metabolic process
890	GO:0017018	myosin phosphatase activity	GO:0055086	nucleobase-containing small molecule metabolic process
891	GO:0017018	myosin phosphatase activity	GO:1901135	carbohydrate derivative metabolic process
892	GO:0017022	myosin binding	GO:0008092	cytoskeletal protein binding
893	GO:0017121	plasma membrane phospholipid scrambling	GO:0007009	plasma membrane organization
894	GO:0017121	plasma membrane phospholipid scrambling	GO:0019899	enzyme binding
895	GO:0017157	regulation of exocytosis	GO:0140098	catalytic activity, acting on RNA
896	GO:0018024	obsolete histone lysine N-methyltransferase activity	GO:0030054	cell junction
897	GO:0019001	guanyl nucleotide binding	GO:0006725	cellular aromatic compound metabolic process
898	GO:0019001	guanyl nucleotide binding	GO:0008152	metabolic process
899	GO:0019001	guanyl nucleotide binding	GO:0043094	cellular metabolic compound salvage
900	GO:0019001	guanyl nucleotide binding	GO:0046483	heterocycle metabolic process
901	GO:0019001	guanyl nucleotide binding	GO:0050794	regulation of cellular process
902	GO:0019001	guanyl nucleotide binding	GO:0055086	nucleobase-containing small molecule metabolic process
903	GO:0019068	virion assembly	GO:0016032	viral process
904	GO:0019200	carbohydrate kinase activity	GO:0016301	kinase activity
905	GO:0019208	phosphatase regulator activity	GO:0030234	enzyme regulator activity
906	GO:0019221	cytokine-mediated signaling pathway	GO:0007166	cell surface receptor signaling pathway
907	GO:0019226	transmission of nerve impulse	GO:0006725	cellular aromatic compound metabolic process
908	GO:0019226	transmission of nerve impulse	GO:0032991	protein-containing complex
909	GO:0019226	transmission of nerve impulse	GO:0033013	tetrapyrrole metabolic process
910	GO:0019226	transmission of nerve impulse	GO:0034641	cellular nitrogen compound metabolic process
911	GO:0019226	transmission of nerve impulse	GO:0048583	regulation of response to stimulus
912	GO:0019318	hexose metabolic process	GO:0005515	protein binding
913	GO:0019318	hexose metabolic process	GO:0044281	small molecule metabolic process
914	GO:0019367	fatty acid elongation, saturated fatty acid	GO:0006082	organic acid metabolic process
915	GO:0019367	fatty acid elongation, saturated fatty acid	GO:0044237	cellular metabolic process
916	GO:0019427	acetyl-CoA biosynthetic process from acetate	GO:0006807	nitrogen compound metabolic process
917	GO:0019427	acetyl-CoA biosynthetic process from acetate	GO:0044237	cellular metabolic process
918	GO:0019706	protein-cysteine S-palmitoyltransferase activity	GO:0016746	acyltransferase activity
919	GO:0019882	antigen processing and presentation	GO:0002376	immune system process
920	GO:0019888	protein phosphatase regulator activity	GO:0016746	acyltransferase activity
921	GO:0019905	syntaxin binding	GO:0002376	immune system process
922	GO:0019905	syntaxin binding	GO:0048583	regulation of response to stimulus
923	GO:0020037	heme binding	GO:0006793	phosphorus metabolic process
924	GO:0020037	heme binding	GO:0009056	catabolic process
925	GO:0020037	heme binding	GO:0033043	regulation of organelle organization
926	GO:0020037	heme binding	GO:0046906	tetrapyrrole binding
927	GO:0020037	heme binding	GO:0048523	negative regulation of cellular process
928	GO:0020037	heme binding	GO:0048583	regulation of response to stimulus
929	GO:0020037	heme binding	GO:0050789	regulation of biological process
930	GO:0020037	heme binding	GO:0050794	regulation of cellular process
931	GO:0020037	heme binding	GO:0061024	membrane organization
932	GO:0022604	regulation of cell morphogenesis	GO:0016874	ligase activity
933	GO:0030001	metal ion transport	GO:0006811	monoatomic ion transport
934	GO:0030027	lamellipodium	GO:0042995	cell projection
935	GO:0030097	hemopoiesis	GO:0048468	cell development
936	GO:0030117	membrane coat	GO:0098796	membrane protein complex
937	GO:0030118	clathrin coat	GO:0009058	biosynthetic process
938	GO:0030118	clathrin coat	GO:0019222	regulation of metabolic process
939	GO:0030118	clathrin coat	GO:0031323	regulation of cellular metabolic process
940	GO:0030118	clathrin coat	GO:0031324	negative regulation of cellular metabolic process
941	GO:0030118	clathrin coat	GO:0050789	regulation of biological process
942	GO:0030127	COPII vesicle coat	GO:0006629	lipid metabolic process
943	GO:0030127	COPII vesicle coat	GO:0006807	nitrogen compound metabolic process
944	GO:0030127	COPII vesicle coat	GO:0009056	catabolic process
945	GO:0030127	COPII vesicle coat	GO:0009058	biosynthetic process
946	GO:0030127	COPII vesicle coat	GO:0009117	nucleotide metabolic process
947	GO:0030127	COPII vesicle coat	GO:0019222	regulation of metabolic process
948	GO:0030127	COPII vesicle coat	GO:0031323	regulation of cellular metabolic process
949	GO:0030127	COPII vesicle coat	GO:0044237	cellular metabolic process
950	GO:0030127	COPII vesicle coat	GO:0044255	cellular lipid metabolic process
951	GO:0030127	COPII vesicle coat	GO:0046483	heterocycle metabolic process
952	GO:0030127	COPII vesicle coat	GO:0048518	positive regulation of biological process
953	GO:0030127	COPII vesicle coat	GO:0050789	regulation of biological process
954	GO:0030127	COPII vesicle coat	GO:0050794	regulation of cellular process
955	GO:0030127	COPII vesicle coat	GO:0055086	nucleobase-containing small molecule metabolic process
